no,Condition,ConditionSession,Trial,color of s1,color of s2,color of s3,color of s4,color of s5,color of s6,color of s7,color of s8,color of tg1,color of tg2,color of tg3,color of tg4,color of tg5,color of tg6,color of tg7,color of tg8,location 1,location 2,location 3,location 4,location 5,location 6,location 7,location 8,"matching setting (1=yes, 0=no)","response key (1=R, 0=L)",Correct,Response Time,
1,3,13,30,1,2,5,3,8,8,8,8,1,2,5,3,8,8,8,8,14,2,18,9,4,5,16,7,1,1,1,1.188,
1,3,13,31,4,5,7,2,8,8,8,8,4,5,7,1,8,8,8,8,7,16,19,4,5,11,20,3,0,0,1,0.859,
1,3,13,32,3,4,1,5,8,8,8,8,3,4,1,5,8,8,8,8,10,11,17,15,16,1,19,18,1,1,1,0.57,
1,3,13,33,3,5,6,7,8,8,8,8,3,5,6,7,8,8,8,8,19,16,12,8,18,2,14,20,1,1,1,0.744,
1,3,13,34,4,3,2,7,8,8,8,8,4,3,2,7,8,8,8,8,11,20,15,10,3,5,2,12,1,0,0,1.784,
1,3,13,35,2,4,5,6,8,8,8,8,2,4,5,6,8,8,8,8,10,20,9,15,6,17,4,18,1,1,1,0.827,
1,3,13,36,6,5,3,4,8,8,8,8,6,5,3,1,8,8,8,8,2,3,17,4,20,6,5,19,0,0,1,0.814,
1,3,13,37,6,4,1,3,8,8,8,8,6,4,1,7,8,8,8,8,9,5,2,4,11,13,20,7,0,0,1,0.605,
1,3,13,38,6,1,2,7,8,8,8,8,6,1,2,5,8,8,8,8,18,20,15,3,6,12,17,5,0,0,1,0.602,
1,3,13,39,2,5,3,1,8,8,8,8,2,5,3,1,8,8,8,8,7,20,3,11,18,13,15,14,1,1,1,0.553,
1,3,13,40,4,6,3,5,8,8,8,8,4,6,3,5,8,8,8,8,20,14,7,2,10,18,5,16,1,1,1,0.577,
1,4,14,1,1,3,4,5,5,6,6,7,2,3,4,5,5,6,6,7,19,18,9,17,6,7,1,13,0,0,1,0.658,
1,4,14,2,1,2,3,4,4,5,6,6,1,2,3,4,4,5,6,6,11,10,6,8,3,15,5,2,1,1,1,0.417,
1,4,14,3,2,3,4,5,5,6,6,7,1,3,4,5,5,6,6,7,19,16,17,15,11,13,14,3,0,0,1,0.765,
1,4,14,4,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,20,10,12,15,1,14,7,5,1,1,1,0.495,
1,4,14,5,1,2,4,4,5,5,7,7,1,2,3,4,5,5,7,7,19,1,10,6,20,9,3,11,0,0,1,0.685,
1,4,14,6,1,2,2,3,3,4,5,7,6,2,2,3,3,4,5,7,1,4,11,8,18,10,3,12,0,1,0,0.596,
1,4,14,7,3,3,4,4,5,5,6,7,3,3,7,4,5,5,6,7,20,14,15,1,18,19,4,11,0,0,1,0.565,
1,4,14,8,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,16,12,19,5,17,2,1,8,1,1,1,0.664,
1,4,14,9,3,4,5,5,6,6,7,7,3,4,4,5,6,6,7,7,3,17,4,10,11,2,6,13,0,0,1,0.728,
1,4,14,10,1,3,4,4,5,6,7,7,1,3,4,3,5,6,7,7,19,20,3,18,12,2,11,17,0,0,1,0.815,
1,4,14,11,2,2,3,4,5,6,7,7,2,2,3,4,6,6,7,7,8,14,1,5,16,20,18,12,0,1,0,0.527,
1,4,14,12,1,2,2,3,3,4,5,7,1,2,2,3,3,4,5,7,4,12,19,6,20,1,5,2,1,1,1,0.62,
1,4,14,13,1,2,3,5,5,6,6,7,1,4,3,5,5,6,6,7,5,14,16,13,17,19,3,20,0,0,1,0.57,
1,4,14,14,2,2,3,4,5,6,6,7,2,5,3,4,5,6,6,7,1,12,10,16,14,7,4,9,0,0,1,0.626,
1,4,14,15,1,1,2,4,4,5,6,7,1,1,2,4,4,5,6,7,9,8,4,20,7,5,6,13,1,1,1,0.933,
1,4,14,16,1,2,3,3,4,6,6,7,1,2,3,3,5,6,6,7,6,13,9,17,10,11,19,8,0,0,1,0.671,
1,4,14,17,1,3,4,5,5,6,7,7,1,3,4,1,5,6,7,7,17,15,14,20,9,5,12,11,0,1,0,0.532,
1,4,14,18,1,1,2,3,4,6,6,7,1,1,2,3,4,6,6,7,15,14,7,18,8,3,4,9,1,1,1,0.611,
1,4,14,19,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,12,9,8,5,13,20,11,17,1,1,1,0.533,
1,4,14,20,1,2,3,4,4,5,7,7,1,2,3,4,4,6,7,7,8,16,5,17,4,12,11,14,0,0,1,0.571,
1,4,14,21,1,1,2,3,4,6,7,7,1,1,2,3,4,6,7,7,18,5,13,6,9,8,16,10,1,1,1,0.416,
1,4,14,22,1,1,2,3,6,6,7,7,1,1,2,3,6,6,7,7,6,10,18,7,20,16,4,1,1,1,1,0.531,
1,4,14,23,3,3,4,4,5,6,6,7,5,3,4,4,5,6,6,7,4,7,2,11,10,16,8,9,0,0,1,0.632,
1,4,14,24,1,1,2,3,3,4,5,7,1,1,2,3,3,4,5,7,6,11,10,5,9,1,3,2,1,1,1,0.542,
1,4,14,25,1,2,2,3,5,6,7,7,1,1,2,3,5,6,7,7,7,3,19,4,9,15,13,6,0,0,1,0.593,
1,4,14,26,2,3,3,4,4,5,6,7,1,3,3,4,4,5,6,7,9,13,20,6,3,16,8,18,0,0,1,0.622,
1,4,14,27,2,3,4,4,5,5,6,6,7,3,4,4,5,5,6,6,1,3,8,20,2,9,10,6,0,0,1,0.587,
1,4,14,28,1,1,2,2,3,4,7,7,1,1,2,2,3,4,7,7,17,4,10,5,9,18,8,2,1,1,1,0.612,
1,4,14,29,1,1,2,2,3,4,5,7,1,1,2,2,3,4,5,7,13,8,4,9,3,10,6,12,1,1,1,0.611,
1,4,14,30,1,2,2,3,4,6,7,7,1,2,2,3,4,5,7,7,14,10,4,18,17,13,7,20,0,1,0,0.517,
1,4,14,31,1,1,2,2,3,4,6,7,1,1,2,2,3,4,5,7,20,2,6,12,18,10,7,8,0,0,1,0.548,
1,4,14,32,1,1,2,3,3,5,5,7,1,1,2,3,3,5,5,7,7,18,12,14,11,15,13,16,1,1,1,0.507,
1,4,14,33,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,11,13,5,19,12,20,18,10,1,1,1,0.612,
1,4,14,34,1,2,2,3,4,4,6,6,1,2,2,3,4,4,6,6,16,13,12,6,5,14,7,4,1,0,0,0.829,
1,4,14,35,1,1,2,2,4,5,6,7,1,1,2,2,4,5,6,7,2,14,8,20,1,6,19,3,1,1,1,0.566,
1,4,14,36,1,1,2,3,3,4,5,6,1,1,2,3,3,4,5,6,2,4,5,17,7,13,10,8,1,1,1,0.626,
1,4,14,37,1,2,2,3,5,5,7,7,1,2,2,4,5,5,7,7,16,7,18,13,9,20,19,14,0,0,1,0.614,
1,4,14,38,1,1,2,4,5,6,6,7,1,1,2,4,5,6,6,7,10,14,15,2,16,19,4,8,1,1,1,0.742,
1,4,14,39,1,1,3,3,4,4,5,7,1,1,3,3,4,4,5,7,7,15,1,13,18,10,4,12,1,1,1,0.628,
1,4,14,40,1,1,3,4,5,6,7,7,1,1,3,4,5,6,7,7,11,17,16,19,18,9,6,8,1,1,1,0.6,
2,2,21,1,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,7,16,3,8,2,19,10,9,1,1,1,0.488,
2,2,21,2,1,2,2,3,3,4,5,7,1,2,2,3,3,4,5,7,3,16,12,5,20,8,9,14,1,1,1,1.131,
2,2,21,3,1,2,3,4,4,5,7,7,1,2,3,4,4,6,7,7,11,17,3,2,12,4,1,10,0,1,0,0.764,
2,2,21,4,3,4,5,5,6,6,7,7,3,4,4,5,6,6,7,7,17,18,19,6,11,13,4,7,0,1,0,0.549,
2,2,21,5,2,3,4,4,5,5,6,6,7,3,4,4,5,5,6,6,19,1,10,20,9,2,17,3,0,0,1,1.148,
2,2,21,6,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,3,7,16,10,19,11,12,15,1,1,1,0.693,
2,2,21,7,1,1,2,2,3,4,6,7,1,1,2,2,3,4,5,7,4,16,1,5,13,7,2,3,0,1,0,0.688,
2,2,21,8,1,1,2,4,4,5,6,7,1,1,2,4,4,5,6,7,13,18,15,14,16,2,10,5,1,1,1,0.679,
2,2,21,9,1,1,2,3,3,4,5,6,1,1,2,3,3,4,5,6,14,9,17,1,16,20,6,5,1,1,1,0.528,
2,2,21,10,1,2,2,3,3,4,5,7,6,2,2,3,3,4,5,7,18,3,7,5,2,6,11,9,0,1,0,1.092,
2,2,21,11,3,3,4,4,5,6,6,7,5,3,4,4,5,6,6,7,20,11,15,1,3,5,16,18,0,1,0,0.486,
2,2,21,12,1,2,2,3,4,4,6,6,1,2,2,3,4,4,6,6,19,16,2,10,20,13,3,8,1,0,0,0.88,
2,2,21,13,1,1,2,3,3,5,5,7,1,1,2,3,3,5,5,7,15,1,8,10,14,6,13,11,1,0,0,1.054,
2,2,21,14,1,1,2,2,3,4,7,7,1,1,2,2,3,4,7,7,12,18,15,3,6,13,10,17,1,1,1,0.738,
